Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Domicili,Valor
1997,01,07,33,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,28
1997,01,07,33,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,177
1997,01,07,33,Dues persones: una de 18-64 anys i l'altra de 65 i més,618
1997,01,07,33,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,1572
1997,01,07,33,Un home de 18 a 64 anys,409
1997,01,07,33,Un home de 65 anys i més,171
1997,01,07,33,Una dona de 18 a 64 anys,602
1997,01,07,33,Una dona de 65 anys i més,902
1997,01,07,34,Altres domicilis amb una o més persones menors de 18 anys,307
1997,01,07,34,Dues persones de 18 a 64 anys,405
1997,01,07,34,Dues persones de 65 anys i més,305
1997,01,07,34,Dues persones o més totes majors de 18 anys,796
1997,01,07,34,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,16
1997,01,07,34,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,57
1997,01,07,34,Dues persones: una de 18-64 anys i l'altra de 65 i més,194
1997,01,07,34,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,534
1997,01,07,34,Un home de 18 a 64 anys,155
1997,01,07,34,Un home de 65 anys i més,65
1997,01,07,34,Una dona de 18 a 64 anys,173
1997,01,07,34,Una dona de 65 anys i més,315
1997,01,07,35,Altres domicilis amb una o més persones menors de 18 anys,1001
1997,01,07,35,Dues persones de 18 a 64 anys,1689
1997,01,07,35,Dues persones de 65 anys i més,1320
1997,01,07,35,Dues persones o més totes majors de 18 anys,3198
1997,01,07,35,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,44
1997,01,07,35,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,249
1997,01,07,35,Dues persones: una de 18-64 anys i l'altra de 65 i més,739
1997,01,07,35,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,2072
1997,01,07,35,Un home de 18 a 64 anys,532
1997,01,07,35,Un home de 65 anys i més,228
1997,01,07,35,Una dona de 18 a 64 anys,808
1997,01,07,35,Una dona de 65 anys i més,1259
1997,01,07,36,Altres domicilis amb una o més persones menors de 18 anys,369
1997,01,07,36,Dues persones de 18 a 64 anys,360
1997,01,07,36,Dues persones de 65 anys i més,240
1997,01,07,36,Dues persones o més totes majors de 18 anys,961
1997,01,07,36,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,22
1997,01,07,36,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,85
1997,01,07,36,Dues persones: una de 18-64 anys i l'altra de 65 i més,132
1997,01,07,36,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,623
1997,01,07,36,Un home de 18 a 64 anys,112
1997,01,07,36,Un home de 65 anys i més,42
1997,01,07,36,Una dona de 18 a 64 anys,105
1997,01,07,36,Una dona de 65 anys i més,196
