Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Edat,Valor
1997,01,10,72,10-19 anys,2779
1997,01,10,72,20-29 anys,4839
1997,01,10,72,30-39 anys,3565
1997,01,10,72,40-49 anys,3142
1997,01,10,72,50-59 anys,3735
1997,01,10,72,60-69 anys,3917
1997,01,10,72,>70 anys,3249
1997,01,10,73,0-9 anys,2245
1997,01,10,73,10-19 anys,3844
1997,01,10,73,20-29 anys,5726
1997,01,10,73,30-39 anys,4287
1997,01,10,73,40-49 anys,4064
1997,01,10,73,50-59 anys,4308
1997,01,10,73,60-69 anys,4056
1997,01,10,73,>70 anys,2980
1998,01,01,01,0-9 anys,2472
1998,01,01,01,10-19 anys,2730
1998,01,01,01,20-29 anys,4771
1998,01,01,01,30-39 anys,5133
1998,01,01,01,40-49 anys,4014
1998,01,01,01,50-59 anys,3833
1998,01,01,01,60-69 anys,4965
1998,01,01,01,>70 anys,6819
1998,01,01,02,0-9 anys,841
1998,01,01,02,10-19 anys,947
1998,01,01,02,20-29 anys,1829
1998,01,01,02,30-39 anys,2300
1998,01,01,02,40-49 anys,1677
1998,01,01,02,50-59 anys,1588
1998,01,01,02,60-69 anys,1981
1998,01,01,02,>70 anys,2761
1998,01,01,03,0-9 anys,1020
1998,01,01,03,10-19 anys,1217
1998,01,01,03,20-29 anys,2116
1998,01,01,03,30-39 anys,2160
1998,01,01,03,40-49 anys,1523
1998,01,01,03,50-59 anys,1667
1998,01,01,03,60-69 anys,2151
1998,01,01,03,>70 anys,2814
1998,01,01,04,0-9 anys,1265
1998,01,01,04,10-19 anys,1507
1998,01,01,04,20-29 anys,2859
1998,01,01,04,30-39 anys,3064
1998,01,01,04,40-49 anys,2344
1998,01,01,04,50-59 anys,2201
1998,01,01,04,60-69 anys,2692
1998,01,01,04,>70 anys,3951
1998,01,02,05,0-9 anys,1979
1998,01,02,05,10-19 anys,2718
1998,01,02,05,20-29 anys,4014
1998,01,02,05,30-39 anys,4057
1998,01,02,05,40-49 anys,3883
1998,01,02,05,50-59 anys,3383
1998,01,02,05,60-69 anys,3438
1998,01,02,05,>70 anys,4321
1998,01,02,06,0-9 anys,3480
1998,01,02,06,10-19 anys,4410
1998,01,02,06,20-29 anys,6515
1998,01,02,06,30-39 anys,7394
1998,01,02,06,40-49 anys,6555
1998,01,02,06,50-59 anys,5425
1998,01,02,06,60-69 anys,6122
1998,01,02,06,>70 anys,8342
1998,01,02,07,0-9 anys,2718
1998,01,02,07,10-19 anys,3173
1998,01,02,07,20-29 anys,5073
1998,01,02,07,30-39 anys,5625
1998,01,02,07,40-49 anys,5178
1998,01,02,07,50-59 anys,4435
1998,01,02,07,60-69 anys,4783
1998,01,02,07,>70 anys,7936
1998,01,02,08,0-9 anys,2725
1998,01,02,08,10-19 anys,3033
1998,01,02,08,20-29 anys,5241
1998,01,02,08,30-39 anys,5764
1998,01,02,08,40-49 anys,4883
1998,01,02,08,50-59 anys,4517
1998,01,02,08,60-69 anys,5123
1998,01,02,08,>70 anys,7874
1998,01,02,09,0-9 anys,4013
1998,01,02,09,10-19 anys,5335
1998,01,02,09,20-29 anys,7680
1998,01,02,09,30-39 anys,7636
1998,01,02,09,40-49 anys,7925
1998,01,02,09,50-59 anys,6678
1998,01,02,09,60-69 anys,6594
1998,01,02,09,>70 anys,8522
1998,01,02,10,0-9 anys,2190
1998,01,02,10,10-19 anys,2955
1998,01,02,10,20-29 anys,4938
1998,01,02,10,30-39 anys,5014
1998,01,02,10,40-49 anys,4540
1998,01,02,10,50-59 anys,4299
1998,01,02,10,60-69 anys,4999
1998,01,02,10,>70 anys,6869
1998,01,03,11,0-9 anys,2372
1998,01,03,11,10-19 anys,2965
1998,01,03,11,20-29 anys,4797
1998,01,03,11,30-39 anys,5001
1998,01,03,11,40-49 anys,4048
1998,01,03,11,50-59 anys,3853
1998,01,03,11,60-69 anys,4802
1998,01,03,11,>70 anys,5959
1998,01,03,12,0-9 anys,233
1998,01,03,12,10-19 anys,255
1998,01,03,12,20-29 anys,325
1998,01,03,12,30-39 anys,243
1998,01,03,12,40-49 anys,150
1998,01,03,12,50-59 anys,137
1998,01,03,12,60-69 anys,202
1998,01,03,12,>70 anys,202
1998,01,03,13,0-9 anys,2610
1998,01,03,13,10-19 anys,3071
1998,01,03,13,20-29 anys,4317
1998,01,03,13,30-39 anys,4829
1998,01,03,13,40-49 anys,3484
1998,01,03,13,50-59 anys,3012
1998,01,03,13,60-69 anys,3339
1998,01,03,13,>70 anys,2149
1998,01,03,14,0-9 anys,664
1998,01,03,14,10-19 anys,977
1998,01,03,14,20-29 anys,1378
1998,01,03,14,30-39 anys,1381
1998,01,03,14,40-49 anys,1379
1998,01,03,14,50-59 anys,1113
1998,01,03,14,60-69 anys,1088
1998,01,03,14,>70 anys,1117
1998,01,03,15,0-9 anys,1073
1998,01,03,15,10-19 anys,1531
1998,01,03,15,20-29 anys,1976
1998,01,03,15,30-39 anys,2108
1998,01,03,15,40-49 anys,2190
1998,01,03,15,50-59 anys,1692
1998,01,03,15,60-69 anys,1754
1998,01,03,15,>70 anys,2266
1998,01,03,16,0-9 anys,1426
1998,01,03,16,10-19 anys,2046
1998,01,03,16,20-29 anys,2480
1998,01,03,16,30-39 anys,2818
1998,01,03,16,40-49 anys,2669
1998,01,03,16,50-59 anys,2015
1998,01,03,16,60-69 anys,1954
1998,01,03,16,>70 anys,1837
1998,01,03,17,0-9 anys,1773
1998,01,03,17,10-19 anys,2629
1998,01,03,17,20-29 anys,3434
1998,01,03,17,30-39 anys,3516
1998,01,03,17,40-49 anys,3547
1998,01,03,17,50-59 anys,2855
1998,01,03,17,60-69 anys,2834
1998,01,03,17,>70 anys,2835
1998,01,03,18,0-9 anys,2536
1998,01,03,18,10-19 anys,3465
1998,01,03,18,20-29 anys,5464
1998,01,03,18,30-39 anys,5616
1998,01,03,18,40-49 anys,4934
1998,01,03,18,50-59 anys,4469
1998,01,03,18,60-69 anys,5167
1998,01,03,18,>70 anys,6112
1998,01,04,19,0-9 anys,3822
1998,01,04,19,10-19 anys,5004
1998,01,04,19,20-29 anys,7116
1998,01,04,19,30-39 anys,6304
1998,01,04,19,40-49 anys,7064
1998,01,04,19,50-59 anys,6169
1998,01,04,19,60-69 anys,5096
