Data_Referencia,Codi_Districte,Codi_Barri,Poblacio,Import_Total,Renda_Mitjana
2021,06,28,16105,320813202,19920.0994722136
2021,06,29,7587,121788067,16052.203374192699
2021,06,30,13244,261404832,19737.604349139234
2021,06,31,49495,918324116,18553.876472370946
2021,06,32,34754,677231613,19486.43646774472
2021,07,33,25408,434437706,17098.461350755668
2021,07,34,9159,145923438,15932.24566000655
2021,07,35,36877,610007198,16541.67090598476
2021,07,36,9351,183512134,19624.867286921184
2021,07,37,32353,399998015,12363.552529904491
2021,07,38,11913,161220735,13533.176781667087
2021,07,39,7323,103833420,14179.082343301925
2021,07,40,4998,78138447,15633.942977190876
2021,07,41,5819,104642138,17982.838632067367
2021,07,42,609,9503445,15605
2021,07,43,27636,448163359,16216.650709219859
2021,08,44,25530,393880142,15428.129338033687
2021,08,45,27476,374719076,13638.050516814674
2021,08,46,16018,183860982,11478.398177050818
2021,08,47,2151,23672877,11005.521617852162
2021,08,48,15046,234575110,15590.52970889273
2021,08,49,6698,98018393,14633.979247536578
2021,08,50,16383,173844250,10611.25862174205
2021,08,51,12740,146307034,11484.068602825746
2021,08,52,26532,340139960,12819.989446705864
2021,08,53,7540,77517394,10280.821485411141
2021,08,54,2863,28343753,9900.018512050297
2021,08,55,11061,98571878,8911.66060934816
2021,08,56,1358,13759256,10132
2021,09,57,10423,103669911,9946.264127410534
2021,09,58,2589,26244068,10136.758594051758
2021,09,59,13601,171066140,12577.467833247556
2021,09,60,57382,972644646,16950.34411487923
2021,09,61,29133,458004509,15721.158445748808
2021,09,62,14397,228490102,15870.674584982982
2021,09,63,22088,359335726,16268.368616443318
2021,10,64,38311,636382322,16610.955652423585
2021,10,65,26334,437800414,16624.91129338498
2021,10,66,15733,270135832,17170.01411046844
2021,10,67,9266,221022970,23853.115691776387
2021,10,68,33908,599107730,17668.624808304823
2021,10,69,13357,256904866,19233.725087968854
2021,10,70,25831,282221127,10925.675622314273
2021,10,71,20876,326321321,15631.410279747079
2021,10,72,25895,386328595,14919.04209306816
2021,10,73,28371,386661777,13628.768002537803
2022,01,01,45948,499849632,10878.593888743797
2022,01,02,22411,288305068,12864.444603096694
2022,01,03,13852,195693274,14127.438203869477
2022,01,04,22019,338903040,15391.391071347472
2022,02,05,32958,635705868,19288.363007464046
2022,02,06,50614,940510278,18582.018374362826
2022,02,07,43425,1032312951,23772.31896373057
2022,02,08,41747,940957733,22539.5293793566
2022,02,09,56295,1167316208,20735.69958255618
2022,02,10,37670,705464352,18727.484788956728
2022,03,11,38567,550252771,14267.450696191045
2022,03,12,1491,18680739,12529
2022,03,13,30088,430543976,14309.491358681202
2022,03,14,10209,176668646,17305.186208247625
2022,03,15,15599,257142388,16484.54311173793
2022,03,16,18933,318545029,16824.857603126817
2022,03,17,23891,385009858,16115.267590305973
2022,03,18,42385,762342888,17986.148118438126
2022,04,19,44851,1047061191,23345.325433100712
2022,04,20,23429,489299506,20884.352981347904
2022,04,21,11610,361021773,31095.759948320414
2022,05,22,4730,110705482,23404.964482029598
2022,05,23,24341,697826407,28668.764923380306
